TYPE,NAME,ADDRESS,COMM_CODE
Arena,Sarcee Seven Chiefs Sportsplex,3700 ANDERSON RD SW,
Recycle Depot,Scarboro,15 AV and 16 ST SW,SCA
Golf Course,Shaganappi Golf Course,1200 26 ST SW,SHG
City Park,Shaw Millenium Park,9 AV SW & 11 ST SW,DNW
Golf Course,Shawnee Slopes Golf Course,820 JAMES MCKEVITT RD SW,SHS
Recycle Depot,Shawnessy,390 Shawville BV SE,SHN
Indoor Pool,Shawnessy YMCA,333 SHAWVILLE BV SE,SHN
Haz Good Drop,Shepard Landfill,68 ST and 114 AV SE,ESH
Landfill,Shepard Landfill,68 ST and 114 AV SE,ESH
Arena,Shouldice Arena,1515 HOME RD NW,MON
Athletic Park,Shouldice Athletic Park,1515 HOME RD NW,MON
City Park,Shouldice Park,BOWNESS RD NW & 56 ST NW,MON
Indoor Pool,Shouldice Pool,5303 BOWNESS RD NW,MON
City Park,Sien Lok Park,RIVERFRONT AV SW & 1 ST SW,CHN
Recycle Depot,Silver Springs,5720 Silver Springs BV NW,SIL
Police Service,Silver Springs Community Station,#2 5720 SILVER SPRINGS BV NW,SIL
Golf Course,Silver Springs Golf & Country Club,1600 VARSITY ESTATES DR NW,VAR
Outdoor Pool,Silver Springs Outdoor Pool,5720 SILVER RIDGE DR NW,SIL
Indoor Pool,Sir Winston Churchill Pool & Fitness Centre,1520 NORTHMOUNT DR NW,BRE
Recycle Depot,South Calgary,3130 16 ST SW,SOC
Outdoor Pool,South Calgary Outdoor Pool,3130 16 ST SW,SOC
